created_at	text
Tue Jan 26 20:04:46 +0000 2021	RT @NASAMoon: A Moon crater just got a new name: Tooley crater. This 7 km wide depression near the Moon's South Pole is named after the lat…
Tue Jan 26 19:28:00 +0000 2021	With bits of space rock aboard, @OSIRISREx will begin its journey back to Earth on May 10. The mission… https://t.co/UPr4Lbegux
Tue Jan 26 17:46:10 +0000 2021	@startrekcbs @NASAGoddard 🖖 Thanks for watching!
Tue Jan 26 17:30:39 +0000 2021	📖 LIVE: Tune in for Story Time from Space! From the @Space_Station, Shannon Walker of @NASA_Astronauts reads the… https://t.co/lf0YXSGv87
Tue Jan 26 17:19:09 +0000 2021	RT @NASA_Johnson: 📚 Story time! 📚NASA astronaut Shannon Walker will read a children's book called Willow the Water Bear LIVE from the @…
Tue Jan 26 16:24:12 +0000 2021	📸 Just in: new views of our solar system! Our @NASASun missions Parker Solar Probe, and STEREO spacecraft, as well… https://t.co/MlQJjl5aq1
Tue Jan 26 15:57:21 +0000 2021	@aliawhs Hi there! The @Space_Station zooms around Earth at about 17,500 mph (about 28,000 kph), but our… https://t.co/qNHm3LwuIS
Tue Jan 26 15:33:52 +0000 2021	@welshrob87 Spectacular shot. Thanks for sharing! 🌟
Mon Jan 25 23:26:17 +0000 2021	RT @Space_Station: The @SpaceX #CrewDragon spacecraft, with its two lit crew windows, is pictured docked to the Harmony module's internatio…
Mon Jan 25 23:14:47 +0000 2021	RT @Dr_ThomasZ: Our program that connects #NASAScience with learners of all ages has just selected 9 new awardees to help us broaden partic…
Mon Jan 25 21:05:06 +0000 2021	Scientists with the Oceans Melting Greenland mission have discovered that glaciers in Greenland’s deep fjords accou… https://t.co/HoylowpKcf
Mon Jan 25 15:33:01 +0000 2021	@vlvucina Yes, Vicky! Science for all! ⭐️ https://t.co/x6IpeRjcjD
Mon Jan 25 15:24:00 +0000 2021	With @BoeingSpace, we are now targeting launch of the #Starliner spacecraft's second uncrewed flight test for March… https://t.co/SA7yj5VgQi
Sun Jan 24 22:25:07 +0000 2021	How dark is space? @NASANewHorizons has the answers. Learn about the latest findings: https://t.co/L7fAWvtDCy https://t.co/7UkCnEYp3B
Sun Jan 24 19:55:01 +0000 2021	“It’s heart stopping.”“It’s soul pounding.” “It’s breathtaking.” 😍 Take in a new perspective of Earth as seen t… https://t.co/5YFkFUtTx9
Sun Jan 24 19:52:29 +0000 2021	RT @Space_Station: .@Astro_Illini and @AstroVicGlover are getting ready for a pair of 6.5-hour spacewalks on Jan. 27 and Feb. 1 to upgrade…
Sat Jan 23 21:59:16 +0000 2021	RT @Space_Station: The station's orbit takes it as high 51.6° above the equator offering awe-inspiring views of the Earth's aurora in betwe…
Sat Jan 23 21:26:11 +0000 2021	RT @NASA_Johnson: The @Nanoracks Bishop Airlock made its way to the @Space_Station recently. It’s a commercial module with a variety of int…
Sat Jan 23 20:45:01 +0000 2021	A galaxy far, far away...50 million light years from Earth, in the constellation of Virgo, the lost galaxy NGC… https://t.co/skf4JBVol0
Sat Jan 23 17:32:00 +0000 2021	Today, we commemorate the 80th anniversary of @NASAGlenn, established by the National Advisory Committee for Aerona… https://t.co/iyUilCeWID
Sat Jan 23 01:57:25 +0000 2021	This week...🔥 An update on the @NASA_SLS rocket core hot fire test⛽ Our @NASA_Orion spacecraft is ready to fuel… https://t.co/d0xJ1xpB9L
Fri Jan 22 23:08:00 +0000 2021	A new study shows that the seven TRAPPIST-1 planets — the largest group of Earth-size planets ever found in a singl… https://t.co/FlnGkTcnqh
Fri Jan 22 20:00:42 +0000 2021	LIVE: Experts at @NASA_Johnson preview two spacewalks set for Jan. 27 &amp; Feb. 1. @Astro_illini &amp; @AstroVicGlover wil… https://t.co/n3LO5bBHm8
Fri Jan 22 19:19:29 +0000 2021	RT @Space_Station: We are answering your #AskNASA questions live on @NASA TV during a briefing starting at 3pm ET today to discuss two upco…
Fri Jan 22 18:24:04 +0000 2021	RT @NASA_Technology: Two CubeSat missions – one to develop the next generation of communication &amp; navigation tech and one to demonstrate a…
Fri Jan 22 17:57:08 +0000 2021	Spacewalk prep underway 💇‍♂️ 👨‍🚀 ✅ The crew aboard the @Space_Station is getting set for a stretch of spacewalks… https://t.co/5J5shoedjw
Fri Jan 22 16:32:00 +0000 2021	.@NorthropGrumman’s 15th commercial resupply mission is targeting liftoff Feb. 20 from @NASA_Wallops, to deliver 3… https://t.co/SB9HT8UerU
Fri Jan 22 02:07:02 +0000 2021	RT @Space_Station: We are answering your #AskNASA questions live on @NASA TV during a spacewalk briefing on Friday at 3pm ET. @Astro_illini…
Thu Jan 21 23:33:45 +0000 2021	ICYMI: A reminder of our @NASAArtemis pledge to return to the Moon now sits in the Oval Office. Learn more about th… https://t.co/d7mPSS15M9
Thu Jan 21 22:32:05 +0000 2021	When @NASAPersevere touches down on the Red Planet in 28 days, so will an experimental helicopter attempting the fi… https://t.co/77XXMzqf4c
Thu Jan 21 21:37:30 +0000 2021	RT @NASAArtemis: The Green Run hot fire test sought to acquire test data to support 23 verification objectives, which are used to certify t…
Thu Jan 21 20:14:52 +0000 2021	RT @NASASun: #ParkerSolarProbe has sent a good status signal after its 7th solar flyby this weekend! ✅ The geometry of this orbit gave scie…
Wed Jan 20 16:02:46 +0000 2021	RT @JimBridenstine: It has been my great honor to serve as your @NASA Administrator. I will miss the amazing NASA family and will forever b…
Wed Jan 20 01:10:01 +0000 2021	In coordination with @csa_asc, our new @NASAPrize, the Deep Space Food Challenge, offers up to a $500K prize purse… https://t.co/pTKQrXRBPU
Tue Jan 19 22:35:16 +0000 2021	LIVE: Get the latest on our @NASA_SLS rocket for #Artemis missions. Administrator @JimBridenstine, human spacefligh… https://t.co/hiFksrcNPL
Tue Jan 19 22:19:50 +0000 2021	@ElsbethDen Hi again! Spacesuits are equipped with water pouches so astronauts can turn their heads and drink from… https://t.co/3eP4P0lPNB
Tue Jan 19 22:16:09 +0000 2021	@ElsbethDen Hi Elsbeth! We're sorry we didn't get to your question last time, but we love talking to people all aro… https://t.co/ka6YjgSYxg
Tue Jan 19 21:58:35 +0000 2021	@WillertBrigitte Thank you, Brigitte! Our astronauts are ready! 🌟 https://t.co/yIqWOCQEke
Tue Jan 19 20:56:00 +0000 2021	Tune in at 5:30pm ET for a news update on last Saturday's hot fire of the @NASA_SLS core stage. Administrator… https://t.co/RGL5MlcfLp
Tue Jan 19 17:15:00 +0000 2021	Astronauts @AstroVicGlover and @Astro_illini will conduct two spacewalks for @Space_Station upgrades on Jan. 27 and… https://t.co/l8gZuLt5AQ
Tue Jan 19 16:32:22 +0000 2021	RT @KathyLueders: NASA inspections show core stage and engines for @NASA_SLS in excellent shape. Data show test parameters used for ground…
Tue Jan 19 01:27:06 +0000 2021	RT @NASAaero: Hitching a ride on @NASAPersevere, the Mars Helicopter, Ingenuity, is a technology demonstration to test powered flight on an…
Mon Jan 18 21:34:39 +0000 2021	RT @Astro_Jessica: On #MLKDay 1 year ago, @Astro_Christina &amp; I completed our 3rd spacewalk together @Space_Station. We took a moment to com…
Mon Jan 18 20:36:20 +0000 2021	RT @NASAEarth: Martin Luther King Jr. came of age in one of the fastest-growing cities in the United States, #Atlanta. #MLKDay https://t.co…
Mon Jan 18 16:04:00 +0000 2021	Darkness cannot drive out darkness, only light can do that. Hate cannot drive out hate, only love can do that. —… https://t.co/s3VkNy8W7F
Mon Jan 18 15:51:53 +0000 2021	RT @NASAKennedy: #ICYMI: Over the weekend, @NASA_Orion was transported to its next location, the Multi-Payload Processing Facility.Here,…
Mon Jan 18 15:09:26 +0000 2021	RT @NASAInterns: #CountdownToMars with us! 🔴 We are now one month away from @NASAPersevere landing on February 18. Join us on this adventur…
Mon Jan 18 02:37:26 +0000 2021	RT @JimBridenstine: Green Run @NASA_SLS hot fire, T-0 time at 5:27 pm ET, lasting 67.2 sec. Engine ignition at 6 sec. prior to T-0, in sequ…
Sun Jan 17 20:08:06 +0000 2021	🚀 10.9 million names from around the WORLD are on their way to Mars right now aboard our @NASAPersevere rover. If… https://t.co/1R5Gewtks5
Sun Jan 17 19:42:47 +0000 2021	RT @NASA_LSP: LauncherOne has been released from Cosmic Girl and its NewtonThree main stage engine has ignited. The 10 CubeSats of ELaNa 20…
Sun Jan 17 17:44:53 +0000 2021	RT @Dr_ThomasZ: A NASA small satellite mission designed to study how small particles collide and aggregate in microgravity is scheduled to…
Sun Jan 17 17:18:43 +0000 2021	RT @NASA_LSP: #DYK: @NASA's ELaNa missions provide a deployment opportunity for CubeSat projects developed by students, educational institu…
Sun Jan 17 02:50:22 +0000 2021	On Saturday, we conducted a hot fire test of the core stage for the @NASA_SLS rocket that will launch @NASAArtemis… https://t.co/0ZWBXXqosf
Sun Jan 17 02:16:22 +0000 2021	RT @nasahqphoto: Today, @NASA, @BoeingSpace, and @AerojetRdyne held the Green Run hot fire test. Take a look at the imagery we captured o…
Sun Jan 17 02:01:05 +0000 2021	Now we've got to go figure out what made it make that decision, make some adjustments, and fix it. For more inf… https://t.co/5284o2Ve7G
Sun Jan 17 02:00:05 +0000 2021	The test article that is behind us is also the flight hardware that will launch Orion to the Moon. This is unique.… https://t.co/Ehb7uX2L1g
Sun Jan 17 01:30:57 +0000 2021	.@NASA_SLS program manager John Honeycutt provides a summary of today's rocket core stage test at @NASAStennis: https://t.co/RwpFwoiEli
Sun Jan 17 01:14:14 +0000 2021	I want people to be encouraged because the future is very bright, and certainly we're going to learn a lot from th… https://t.co/b5FAS61fMO
Sun Jan 17 01:06:54 +0000 2021	LIVE NOW: An update on today's @NASA_SLS engine hot fire test: https://t.co/dEuw8RpGn8 https://t.co/dEuw8RpGn8
Sun Jan 17 00:16:47 +0000 2021	UPDATE: The post-test briefing is now targeted for approximately 8:00pm ET. https://t.co/srrhVNAa7C
Sat Jan 16 23:47:50 +0000 2021	Today's @NASA_SLS core stage engine test ended about one minute into the expected eight-minute hot fire. Teams will… https://t.co/UqLqlxswYE
Sat Jan 16 22:39:59 +0000 2021	Watch all four @NASA_SLS core stage engines roar to life and shake the ground in Mississippi. Teams are assessing… https://t.co/VLHFSPD3ne
